The number of selected features is: 8534

The index of selected features start from 0

NO.		FeaName		Score

1		Fea5881		1.0
2		Fea7619		0.8526106424305255
3		Fea1979		0.8411516571082015
4		Fea454		0.7957685969200115
5		Fea6187		0.7922025695828402
6		Fea7794		0.7830926062672432
7		Fea6537		0.7743364046260034
8		Fea4640		0.7602567601223492
9		Fea3625		0.6954746113347798
10		Fea3739		0.6921552158773255
11		Fea8088		0.6882753462751778
12		Fea937		0.6876556727900138
13		Fea2762		0.6869351936539013
14		Fea4810		0.6844870151283677
15		Fea6214		0.6642971607595208
16		Fea3418		0.660015921709313
17		Fea6109		0.6595831184088515
18		Fea1542		0.6547163802157547
19		Fea2184		0.6357175835440527
20		Fea2451		0.6339277812874098
21		Fea4963		0.6285623835675462
22		Fea6414		0.6225525129855024
23		Fea7292		0.6197139572126886
24		Fea3224		0.6082500741667722
25		Fea7358		0.6076954170824093
26		Fea7243		0.594286001072304
27		Fea7042		0.5910035015262781
28		Fea3544		0.5841472754306501
29		Fea1375		0.5832175195085181
30		Fea6656		0.5825745718320544
31		Fea8451		0.5789050446403378
32		Fea69		0.5696834706089791
33		Fea7991		0.5658586888259585
34		Fea6783		0.5466397060276187
35		Fea4822		0.5288332198866541
36		Fea5679		0.5083065671990976
37		Fea2513		0.5033518373845376
38		Fea7166		0.4927059600544381
39		Fea686		0.48900815278828585
40		Fea1249		0.4858682842037398
41		Fea4515		0.48337240467607334
42		Fea3545		0.48315212367976806
43		Fea8262		0.48247478934995086
44		Fea2364		0.4792915392668457
45		Fea7756		0.4764591068040656
46		Fea2827		0.473315812823943
47		Fea8398		0.4722107585307989
48		Fea1937		0.47116918774969363
49		Fea2896		0.469842110982893
50		Fea7297		0.46619081749086505
51		Fea1099		0.46406815631597215
52		Fea2089		0.4616582952012267
53		Fea4607		0.46153894814975166
54		Fea1153		0.4613555898218945
55		Fea6502		0.46085389169287433
56		Fea2857		0.4599756220531603
57		Fea2001		0.4588352799115582
58		Fea7681		0.4563078769786492
59		Fea7719		0.4560044508929562
60		Fea2835		0.45362470892139456
61		Fea4840		0.45140140684220464
62		Fea1169		0.4470380272553213
63		Fea1080		0.4463297850075823
64		Fea1183		0.4454802066754199
65		Fea7374		0.44262642976106775
66		Fea3832		0.44240151837458325
67		Fea7376		0.44060719278642463
68		Fea7074		0.4357756249222402
69		Fea2103		0.43487741762569104
70		Fea1041		0.4313562770993932
71		Fea1791		0.42328242630751434
72		Fea4081		0.4145490120525426
73		Fea7595		0.41326035642128084
74		Fea3166		0.411334945968445
75		Fea2002		0.4044625502537717
76		Fea3638		0.40183914235329415
77		Fea598		0.39872136300978755
78		Fea4120		0.39719594750922854
79		Fea5249		0.39411996857110904
80		Fea2411		0.3936099639950356
81		Fea7353		0.3931897013785555
82		Fea2463		0.3923797614305564
83		Fea2814		0.39172472398156855
84		Fea1920		0.3912424988271508
85		Fea868		0.3912392016949113
86		Fea1186		0.39095550397711293
87		Fea1889		0.38964195578966476
88		Fea4659		0.3895781756809121
89		Fea1266		0.38946524462025983
90		Fea5276		0.3894056895590224
91		Fea3290		0.3889017492655639
92		Fea8431		0.3867103642506705
93		Fea182		0.38628416929682013
94		Fea6682		0.38403500732054807
95		Fea4779		0.38322947949260894
96		Fea1603		0.3818174448828748
97		Fea1441		0.381327394294086
98		Fea7533		0.3790441211623161
99		Fea3654		0.37850163077736776
100		Fea935		0.37647069681290307
101		Fea8024		0.3755832719685043
102		Fea1564		0.3751571089075266
103		Fea3178		0.3750486076569947
104		Fea7511		0.3743817826821238
105		Fea5411		0.3728284316918062
106		Fea574		0.37206562761036316
107		Fea7491		0.37167332673443104
108		Fea1334		0.3715936583309799
109		Fea6323		0.3712394579014308
110		Fea8399		0.37068936125574
111		Fea1220		0.37061518171841373
112		Fea4448		0.3692699419705795
113		Fea5454		0.368348769502402
114		Fea6219		0.36624677045609516
115		Fea3770		0.36611518565638485
116		Fea3937		0.3659846097397534
117		Fea5395		0.3640661366914071
118		Fea8340		0.36370004190540267
119		Fea378		0.3630020553982478
120		Fea4542		0.3616284573734666
121		Fea1156		0.36161298574267375
122		Fea5174		0.35950526532686644
123		Fea4713		0.3593894921525824
124		Fea5684		0.35845035739508224
125		Fea3706		0.3580322026101278
126		Fea3482		0.3572983135199701
127		Fea5043		0.3569350674016151
128		Fea8484		0.354527370627989
129		Fea5122		0.3545068534278154
130		Fea5257		0.3542455442060642
131		Fea6503		0.35338222777773215
132		Fea3043		0.3533168002429034
133		Fea8471		0.35327660706527736
134		Fea373		0.3529214170747399
135		Fea5359		0.3522591215202863
136		Fea6375		0.3516353304389256
137		Fea667		0.35078528473919124
